|  x   | sinc | sin  |
|-10.00|-0.05 | 0.54 |
|-9.95 |-0.05 | 0.50 |
|-9.90 |-0.05 | 0.46 |
|-9.85 |-0.04 | 0.41 |
|-9.80 |-0.04 | 0.37 |
|-9.75 |-0.03 | 0.32 |
|-9.70 |-0.03 | 0.27 |
|-9.65 |-0.02 | 0.22 |
|-9.60 |-0.02 | 0.17 |
|-9.55 |-0.01 | 0.12 |
|-9.50 |-0.01 | 0.08 |
|-9.45 |-0.00 | 0.03 |
|-9.40 | 0.00 |-0.02 |
|-9.35 | 0.01 |-0.07 |
|-9.30 | 0.01 |-0.12 |
|-9.25 | 0.02 |-0.17 |
|-9.20 | 0.02 |-0.22 |
|-9.15 | 0.03 |-0.27 |
|-9.10 | 0.04 |-0.32 |
|-9.05 | 0.04 |-0.37 |
|-9.00 | 0.05 |-0.41 |
|-8.95 | 0.05 |-0.46 |
|-8.90 | 0.06 |-0.50 |
|-8.85 | 0.06 |-0.54 |
|-8.80 | 0.07 |-0.58 |
|-8.75 | 0.07 |-0.62 |
|-8.70 | 0.08 |-0.66 |
|-8.65 | 0.08 |-0.70 |
|-8.60 | 0.09 |-0.73 |
|-8.55 | 0.09 |-0.77 |
|-8.50 | 0.09 |-0.80 |
|-8.45 | 0.10 |-0.83 |
|-8.40 | 0.10 |-0.85 |
|-8.35 | 0.11 |-0.88 |
|-8.30 | 0.11 |-0.90 |
|-8.25 | 0.11 |-0.92 |
|-8.20 | 0.11 |-0.94 |
|-8.15 | 0.12 |-0.96 |
|-8.10 | 0.12 |-0.97 |
|-8.05 | 0.12 |-0.98 |
|-8.00 | 0.12 |-0.99 |
|-7.95 | 0.13 |-1.00 |
|-7.90 | 0.13 |-1.00 |
|-7.85 | 0.13 |-1.00 |
|-7.80 | 0.13 |-1.00 |
|-7.75 | 0.13 |-0.99 |
|-7.70 | 0.13 |-0.99 |
|-7.65 | 0.13 |-0.98 |
|-7.60 | 0.13 |-0.97 |
|-7.55 | 0.13 |-0.95 |
|-7.50 | 0.13 |-0.94 |
|-7.45 | 0.12 |-0.92 |
|-7.40 | 0.12 |-0.90 |
|-7.35 | 0.12 |-0.88 |
|-7.30 | 0.12 |-0.85 |
|-7.25 | 0.11 |-0.82 |
|-7.20 | 0.11 |-0.79 |
|-7.15 | 0.11 |-0.76 |
|-7.10 | 0.10 |-0.73 |
|-7.05 | 0.10 |-0.69 |
|-7.00 | 0.09 |-0.66 |
|-6.95 | 0.09 |-0.62 |
|-6.90 | 0.08 |-0.58 |
|-6.85 | 0.08 |-0.54 |
|-6.80 | 0.07 |-0.49 |
|-6.75 | 0.07 |-0.45 |
|-6.70 | 0.06 |-0.40 |
|-6.65 | 0.05 |-0.36 |
|-6.60 | 0.05 |-0.31 |
|-6.55 | 0.04 |-0.26 |
|-6.50 | 0.03 |-0.22 |
|-6.45 | 0.03 |-0.17 |
|-6.40 | 0.02 |-0.12 |
|-6.35 | 0.01 |-0.07 |
|-6.30 | 0.00 |-0.02 |
|-6.25 |-0.01 | 0.03 |
|-6.20 |-0.01 | 0.08 |
|-6.15 |-0.02 | 0.13 |
|-6.10 |-0.03 | 0.18 |
|-6.05 |-0.04 | 0.23 |
|-6.00 |-0.05 | 0.28 |
|-5.95 |-0.05 | 0.33 |
|-5.90 |-0.06 | 0.37 |
|-5.85 |-0.07 | 0.42 |
|-5.80 |-0.08 | 0.46 |
|-5.75 |-0.09 | 0.51 |
|-5.70 |-0.10 | 0.55 |
|-5.65 |-0.10 | 0.59 |
|-5.60 |-0.11 | 0.63 |
|-5.55 |-0.12 | 0.67 |
|-5.50 |-0.13 | 0.71 |
|-5.45 |-0.14 | 0.74 |
|-5.40 |-0.14 | 0.77 |
|-5.35 |-0.15 | 0.80 |
|-5.30 |-0.16 | 0.83 |
|-5.25 |-0.16 | 0.86 |
|-5.20 |-0.17 | 0.88 |
|-5.15 |-0.18 | 0.91 |
|-5.10 |-0.18 | 0.93 |
|-5.05 |-0.19 | 0.94 |
|-5.00 |-0.19 | 0.96 |
|-4.95 |-0.20 | 0.97 |
|-4.90 |-0.20 | 0.98 |
|-4.85 |-0.20 | 0.99 |
|-4.80 |-0.21 | 1.00 |
|-4.75 |-0.21 | 1.00 |
|-4.70 |-0.21 | 1.00 |
|-4.65 |-0.21 | 1.00 |
|-4.60 |-0.22 | 0.99 |
|-4.55 |-0.22 | 0.99 |
|-4.50 |-0.22 | 0.98 |
|-4.45 |-0.22 | 0.97 |
|-4.40 |-0.22 | 0.95 |
|-4.35 |-0.21 | 0.94 |
|-4.30 |-0.21 | 0.92 |
|-4.25 |-0.21 | 0.89 |
|-4.20 |-0.21 | 0.87 |
|-4.15 |-0.20 | 0.85 |
|-4.10 |-0.20 | 0.82 |
|-4.05 |-0.19 | 0.79 |
|-4.00 |-0.19 | 0.76 |
|-3.95 |-0.18 | 0.72 |
|-3.90 |-0.18 | 0.69 |
|-3.85 |-0.17 | 0.65 |
|-3.80 |-0.16 | 0.61 |
|-3.75 |-0.15 | 0.57 |
|-3.70 |-0.14 | 0.53 |
|-3.65 |-0.13 | 0.49 |
|-3.60 |-0.12 | 0.44 |
|-3.55 |-0.11 | 0.40 |
|-3.50 |-0.10 | 0.35 |
|-3.45 |-0.09 | 0.30 |
|-3.40 |-0.08 | 0.26 |
|-3.35 |-0.06 | 0.21 |
|-3.30 |-0.05 | 0.16 |
|-3.25 |-0.03 | 0.11 |
|-3.20 |-0.02 | 0.06 |
|-3.15 |-0.00 | 0.01 |
|-3.10 | 0.01 |-0.04 |
|-3.05 | 0.03 |-0.09 |
|-3.00 | 0.05 |-0.14 |
|-2.95 | 0.06 |-0.19 |
|-2.90 | 0.08 |-0.24 |
|-2.85 | 0.10 |-0.29 |
|-2.80 | 0.12 |-0.33 |
|-2.75 | 0.14 |-0.38 |
|-2.70 | 0.16 |-0.43 |
|-2.65 | 0.18 |-0.47 |
|-2.60 | 0.20 |-0.52 |
|-2.55 | 0.22 |-0.56 |
|-2.50 | 0.24 |-0.60 |
|-2.45 | 0.26 |-0.64 |
|-2.40 | 0.28 |-0.68 |
|-2.35 | 0.30 |-0.71 |
|-2.30 | 0.32 |-0.75 |
|-2.25 | 0.35 |-0.78 |
|-2.20 | 0.37 |-0.81 |
|-2.15 | 0.39 |-0.84 |
|-2.10 | 0.41 |-0.86 |
|-2.05 | 0.43 |-0.89 |
|-2.00 | 0.45 |-0.91 |
|-1.95 | 0.48 |-0.93 |
|-1.90 | 0.50 |-0.95 |
|-1.85 | 0.52 |-0.96 |
|-1.80 | 0.54 |-0.97 |
|-1.75 | 0.56 |-0.98 |
|-1.70 | 0.58 |-0.99 |
|-1.65 | 0.60 |-1.00 |
|-1.60 | 0.62 |-1.00 |
|-1.55 | 0.65 |-1.00 |
|-1.50 | 0.66 |-1.00 |
|-1.45 | 0.68 |-0.99 |
|-1.40 | 0.70 |-0.99 |
|-1.35 | 0.72 |-0.98 |
|-1.30 | 0.74 |-0.96 |
|-1.25 | 0.76 |-0.95 |
|-1.20 | 0.78 |-0.93 |
|-1.15 | 0.79 |-0.91 |
|-1.10 | 0.81 |-0.89 |
|-1.05 | 0.83 |-0.87 |
|-1.00 | 0.84 |-0.84 |
|-0.95 | 0.86 |-0.81 |
|-0.90 | 0.87 |-0.78 |
|-0.85 | 0.88 |-0.75 |
|-0.80 | 0.90 |-0.72 |
|-0.75 | 0.91 |-0.68 |
|-0.70 | 0.92 |-0.64 |
|-0.65 | 0.93 |-0.61 |
|-0.60 | 0.94 |-0.56 |
|-0.55 | 0.95 |-0.52 |
|-0.50 | 0.96 |-0.48 |
|-0.45 | 0.97 |-0.43 |
|-0.40 | 0.97 |-0.39 |
|-0.35 | 0.98 |-0.34 |
|-0.30 | 0.99 |-0.30 |
|-0.25 | 0.99 |-0.25 |
|-0.20 | 0.99 |-0.20 |
|-0.15 | 1.00 |-0.15 |
|-0.10 | 1.00 |-0.10 |
|-0.05 | 1.00 |-0.05 |
| 0.00 | 1.00 | 0.00 |
| 0.05 | 1.00 | 0.05 |
| 0.10 | 1.00 | 0.10 |
| 0.15 | 1.00 | 0.15 |
| 0.20 | 0.99 | 0.20 |
| 0.25 | 0.99 | 0.25 |
| 0.30 | 0.99 | 0.30 |
| 0.35 | 0.98 | 0.34 |
| 0.40 | 0.97 | 0.39 |
| 0.45 | 0.97 | 0.43 |
| 0.50 | 0.96 | 0.48 |
| 0.55 | 0.95 | 0.52 |
| 0.60 | 0.94 | 0.56 |
| 0.65 | 0.93 | 0.61 |
| 0.70 | 0.92 | 0.64 |
| 0.75 | 0.91 | 0.68 |
| 0.80 | 0.90 | 0.72 |
| 0.85 | 0.88 | 0.75 |
| 0.90 | 0.87 | 0.78 |
| 0.95 | 0.86 | 0.81 |
| 1.00 | 0.84 | 0.84 |
| 1.05 | 0.83 | 0.87 |
| 1.10 | 0.81 | 0.89 |
| 1.15 | 0.79 | 0.91 |
| 1.20 | 0.78 | 0.93 |
| 1.25 | 0.76 | 0.95 |
| 1.30 | 0.74 | 0.96 |
